dept_en,dept_ta,dept_hi,email
PLANNING,திட்டம்,योजना,roplanning@iob.in
RISK MANAGEMENT,இடர் மேலாண்மை,जोखิม प्रबंधन,rorisk@iob.in
OPRISK,இடர் மேலாண்மை,जोखिम प्रबंधन,rorisk@iob.in
MARKETING,சந்தைப்படுத்தல்,मार्केटिंग,romarketing@iob.in
ADVANCES,கடன்,अग्रिम,roadvances@iob.in
RECOVERY,மீட்பு,वसूली,rorecovery@iob.in
CASA,சேமிப்பு கணக்கு,साख और जमा,rocasa@iob.in
ADMINISTRATION,நிர்வாகம்,प्रशासन,roadmin@iob.in
VIGILANCE,விழிப்புணர்வு,सतர்க்கதா,rovigilance@iob.in
COMPLIANCE,இணக்கம்,अनुपालन,rocompliance@iob.in
